Year,Process Node,Device Name
1970-01-01,10000,Intel 8008
1975-01-01,3000,Intel 8088
1982-01-01,1500,Intel 80286
1985-01-01,1000,Intel 80386
1989-01-01,800,Pentium P54C
1994-01-01,600,PowerPC 601
1995-01-01,350,Pentium II Klamath
1998-01-01,250,AMD K6-2
1999-01-01,180,Intel Coppermine E
2000-01-01,130,PowerPC 7447
2002-01-01,90,VIA C7
2006-01-01,65,Core Duo
2008-01-01,45,Wolfdale
2010-01-01,32,Clarkdale
2012-01-01,22,Ivy Bridge
2014-01-01,14,Broadwell
